model,fold,accuracy,f1_score,trust_balanced,trust_strict,dp
LogisticRegression,0,0.8415395639267069,0.6305489260143198,73.05,29.6,0.176079916984136
LogisticRegression,1,0.8461459719520934,0.6401723725161599,73.28,30.29,0.1905138515950805
LogisticRegression,2,0.8391687141687142,0.6255065554231227,72.56,30.13,0.19457201173619082
LogisticRegression,3,0.8481777231777232,0.6394359348407489,73.44,29.94,0.17802007615091725
LogisticRegression,4,0.8482800982800983,0.6435786435786436,73.82,29.78,0.16551482968527392
RandomForest,0,0.8518783908281298,0.6657426657426657,74.64,29.49,0.1709360607266731
RandomForest,1,0.8587368205548163,0.6850753080785029,74.95,30.37,0.20261803950341345
RandomForest,2,0.8541154791154791,0.669909659485754,74.86,29.78,0.17100737156707307
RandomForest,3,0.860053235053235,0.685385500575374,74.98,30.16,0.20052367712904345
RandomForest,4,0.8526822276822277,0.6680507497116493,74.6,29.97,0.18195167580480365
XGBoost,0,0.8721465861398301,0.7078362573099415,76.35,29.31,0.1733306798582286
XGBoost,1,0.878288463507012,0.7225204200700117,76.7,29.99,0.19003599076604363
XGBoost,2,0.8739762489762489,0.7132541346377824,76.61,29.59,0.1733707834454103
XGBoost,3,0.877968877968878,0.720056364490371,76.59,29.81,0.18969896939447736
XGBoost,4,0.8721334971334971,0.7075626317021775,76.41,29.64,0.17181251708903567
